dosha,problem,remedy,foods_avoid,foods_prefer,lifestyle,diet,notes,source
pitta,acidity,Aloe vera juice 30 ml daily,"spicy foods, fried foods, sour pickles","ghee, milk, sweet fruits","sleep early, avoid heat",,,
pitta,heartburn,Cooling herbs like Sheeta Sudha,"tomatoes, vinegar, chili","cucumber, coconut water",practice cooling pranayama,,,
pitta,migraine,Brahmi + Shankhpushpi,"fermented foods, alcohol","sweet fruits, coriander tea",reduce screen time,,,
pitta,skin_rashes,Neem + turmeric paste,"hot spices, fried snacks","aloe vera, rose water",avoid direct sun,,,
pitta,anger,Jatamansi 500mg,"coffee, energy drinks","mint tea, chamomile",meditation 10 minutes daily,,,
pitta,ulcers,Licorice (Mulethi) tea,"red chili, garlic","coconut water, ghee",no late-night meals,,,
pitta,loose_motion,Buttermilk + cumin,oily foods,"steamed rice, banana",rest properly,,,
pitta,dehydration,ORS + coconut water,salted snacks,"sweet lime, watermelon",avoid physical heat,,,
pitta,nausea,Ginger + honey,fried pakodas,warm water,eat small meals,,,
pitta,insomnia,Ashwagandha milk,heavy dinner,"ghee, warm milk",dim lights at night,,,
vata,gas,Ajwain + warm water,"cold drinks, raw salads","ginger tea, warm soups",early dinner,,,
vata,anxiety,Ashwagandha 500mg,"coffee, aerated drinks","ghee, nuts",oil massage (abhyanga),,,
vata,dry_skin,Sesame oil massage,cold showers,"warm milk, dates",regular sleep routine,,,
vata,constipation,Triphala at night,"dry snacks, bread","banana, warm water",morning walk,,,
vata,back_pain,Castor oil massage,cold food,hot soups,avoid fasting,,,
vata,insomnia,Warm turmeric milk,late-night screen time,"ghee, jaggery",go to bed before 11 PM,,,
vata,weak_digestion,Hing + warm water,cold salads,"ginger, cumin",avoid overeating,,,
vata,tremors,Brahmi tea,caffeine,protein-rich warm meals,deep breathing,,,
vata,low_energy,Chyawanprash daily,processed foods,warm grains,light exercise,,,
vata,dry_cough,Honey + pepper,cold drinks,"warm water, tulsi",avoid AC,,,
kapha,fatigue,Honey + warm water,"dairy, sweets","ginger tea, warm lemon water",brisk walking,,,
kapha,constipation,Warm water + Isabgol,cold foods,hot soups,morning walk,,,
kapha,cold,Tulsi + ginger tea,"ice cream, curd",warm water,steam inhalation,,,
kapha,weight_gain,Trikatu churna,"rice, potatoes","millets, greens",exercise daily,,,
kapha,slow_digestion,Lemon + black pepper,oily foods,light khichdi,avoid daytime sleep,,,
kapha,depression,Shilajit 300mg,heavy meals,spice-infused tea,sun exposure,,,
kapha,breathlessness,Pippali churna,cold drinks,warm ginger tea,pranayama,,,
kapha,water_retention,Punarnava tea,salt,"parsley, barley",light dinner,,,
kapha,sinus,Steam with eucalyptus,cold foods,pepper soup,keep head warm,,,
kapha,joint_pain,Guggul + turmeric,curd at night,warm soups,morning stretching,,,
